direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
short,49333.4,49463.89352378007,49183.4,2026-02-23 16:45:00,new_york,49433.89352378007,97941.70639123759,49183.4,2026-02-23 17:00:00,tp,148.0,148.0,98089.70639123759,98089.70639123759
long,48854.88,48818.88,49004.88,2026-02-24 01:05:00,asia,48848.88,98089.70639123759,48826.84221611241,2026-02-24 10:00:00,sl,-30.037783887586556,-30.037783887586556,98059.66860735,98059.66860735
long,48853.61,48822.906278421266,49003.61,2026-02-24 10:20:00,london,48852.906278421266,98059.66860735,48821.962602602594,2026-02-24 10:35:00,sl,-33.647397397406166,-33.647397397406166,98026.0212099526,98026.0212099526
long,48864.61,48817.275221470045,49014.61,2026-02-24 11:05:00,london,48847.275221470045,98026.0212099526,48817.59355383078,2026-02-24 11:35:00,sl,-49.0164461692184,-49.0164461692184,97977.00476378338,97977.00476378338
short,48858.61,48892.177540138626,48708.61,2026-02-24 14:40:00,new_york,48862.177540138626,97977.00476378338,48891.75043661617,2026-02-24 15:25:00,sl,-35.14043661616597,-35.14043661616597,97941.86432716722,97941.86432716722
short,48847.61,48895.57992266836,48697.61,2026-02-24 16:20:00,new_york,48865.57992266836,97941.86432716722,48896.33082091528,2026-02-24 16:30:00,sl,-50.720820915281365,-50.720820915281365,97891.14350625194,97891.14350625194
short,49163.41,49199.57407991589,49013.41,2026-02-25 02:00:00,asia,49169.57407991589,97891.14350625194,49200.75621691083,2026-02-25 02:50:00,sl,-39.346216910824296,-39.346216910824296,97851.79728934112,97851.79728934112
short,49195.81,49230.66909878101,49045.81,2026-02-25 05:05:00,asia,49200.66909878101,97851.79728934112,49216.98954836052,2026-02-25 10:00:00,sl,-23.179548360523768,-23.179548360523768,97828.6177409806,97828.6177409806
short,49242.6,49292.64535338903,49092.6,2026-02-25 17:05:00,new_york,49262.64535338903,97828.6177409806,49290.455827840226,2026-02-25 17:40:00,sl,-49.85582784022699,-49.85582784022699,97778.76191314036,97778.76191314036
short,49259.15,49290.68257740067,49109.15,2026-02-25 17:45:00,new_york,49260.68257740067,97778.76191314036,49291.200617133145,2026-02-25 17:55:00,sl,-34.05061713314353,-34.05061713314353,97744.71129600721,97744.71129600721
short,49468.38,49502.94422764227,49318.38,2026-02-26 01:10:00,asia,49472.94422764227,97744.71129600721,49432.437969353654,2026-02-26 11:30:00,sl,33.94203064634348,33.94203064634348,97778.65332665356,97778.65332665356
short,49389.8,49544.74490765386,49239.8,2026-02-26 17:15:00,new_york,49514.74490765386,97778.65332665356,49239.8,2026-02-26 17:25:00,tp,148.0,148.0,97926.65332665356,97926.65332665356
long,49518.8,49458.45236228651,49668.8,2026-02-26 17:45:00,new_york,49488.45236228651,97926.65332665356,49463.048714368604,2026-02-26 18:35:00,sl,-57.75128563139879,-57.75128563139879,97868.90204102216,97868.90204102216
long,49473.5,49419.7410185043,49623.5,2026-02-26 20:35:00,other,49449.7410185043,97868.90204102216,49429.97149026185,2026-02-26 23:30:00,sl,-45.528509738149296,-45.528509738149296,97823.37353128401,97823.37353128401
long,49217.68,49174.013333333336,49367.68,2026-02-27 01:05:00,asia,49204.013333333336,97823.37353128401,49195.56040260509,2026-02-27 01:45:00,sl,-24.119597394907032,-24.119597394907032,97799.25393388911,97799.25393388911
long,49230.31,49192.55852469904,49380.31,2026-02-27 02:05:00,asia,49222.55852469904,97799.25393388911,49192.82136311151,2026-02-27 02:35:00,sl,-39.48863688849087,-39.48863688849087,97759.76529700062,97759.76529700062
long,49218.81,49184.10854580621,49368.81,2026-02-27 04:00:00,asia,49214.10854580621,97759.76529700062,49221.4572448661,2026-02-27 12:10:00,sl,0.6472448661006638,0.6472448661006638,97760.41254186671,97760.41254186671
long,49255.71,49221.33987431063,49405.71,2026-02-27 12:20:00,other,49251.33987431063,97760.41254186671,49220.91921954344,2026-02-27 12:45:00,sl,-36.79078045656206,-36.79078045656206,97723.62176141015,97723.62176141015
long,48458.58,48415.91333333333,48608.58,2026-03-02 01:05:00,asia,48445.91333333333,97723.62176141015,48424.60690972222,2026-03-02 01:15:00,sl,-35.97309027778101,-35.97309027778101,97687.64867113237,97687.64867113237
