trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1654,2026-03-19 04:05:00,2026-03-19 04:06:00,short,4851.34,4858.03,4837.960000000001,4837.960000000001,tp,10.38,42.78,1.552,5557.72,asia,conservative,bearish,4855.03,4851.34,2026-03-18 22:50:00
1655,2026-03-19 04:57:00,2026-03-19 05:02:00,short,4858.32,4864.39,4846.1799999999985,4846.1799999999985,tp,9.14,41.84,1.506,5599.56,asia,conservative,bearish,4861.39,4858.32,2026-03-19 04:55:00
1656,2026-03-19 05:02:00,2026-03-19 05:06:00,long,4847.97,4842.85,4858.21,4842.85,sl,-8.12,-44.4,-1.586,5555.16,asia,conservative,bullish,4847.97,4845.85,2026-03-19 04:40:00
1657,2026-03-19 05:34:00,2026-03-19 07:00:00,long,4856.04,4850.47,4867.179999999999,4850.47,sl,-8.57,-42.74,-1.539,5512.42,asia,conservative,bullish,4856.04,4853.47,2026-03-19 05:30:00
1658,2026-03-19 08:51:00,2026-03-19 09:02:00,short,4836.24,4842.2,4824.32,4842.2,sl,-8.96,-41.44,-1.503,5470.99,asia,conservative,bearish,4839.2,4836.24,2026-03-19 08:45:00
1659,2026-03-19 09:21:00,2026-03-19 09:29:00,long,4823.76,4815.34,4840.6,4815.34,sl,-11.42,-37.1,-1.356,5433.88,asia,conservative,bullish,4823.76,4818.34,2026-03-19 01:45:00
1660,2026-03-19 10:17:00,2026-03-19 10:22:00,long,4776.65,4770.1,4789.749999999998,4770.1,sl,-9.55,-39.61,-1.458,5394.27,london,conservative,bullish,4776.65,4773.1,2026-03-19 10:15:00
1661,2026-03-19 10:55:00,2026-03-19 11:05:00,short,4752.75,4766.04,4726.17,4726.17,tp,23.58,47.85,1.774,5442.13,london,conservative,bearish,4763.04,4752.75,2026-03-19 10:50:00
1662,2026-03-19 12:27:00,2026-03-19 12:33:00,long,4710.06,4702.36,4725.460000000002,4725.460000000002,tp,12.4,43.82,1.61,5485.95,london,conservative,bullish,4710.06,4705.36,2026-03-19 12:25:00
1663,2026-03-19 12:34:00,2026-03-19 12:43:00,short,4721.92,4730.56,4704.639999999999,4704.639999999999,tp,14.28,45.34,1.653,5531.28,london,conservative,bearish,4727.56,4721.92,2026-03-19 11:35:00
1664,2026-03-19 13:34:00,2026-03-19 13:46:00,short,4694.23,4702.37,4677.949999999999,4677.949999999999,tp,13.28,45.12,1.631,5576.4,london,conservative,bearish,4699.37,4694.23,2026-03-19 13:25:00
1665,2026-03-19 13:52:00,2026-03-19 13:53:00,short,4684.58,4689.97,4673.799999999999,4673.799999999999,tp,7.78,40.25,1.443,5616.65,london,conservative,bearish,4686.97,4684.58,2026-03-19 13:50:00
1666,2026-03-19 14:17:00,2026-03-19 14:35:00,long,4683.96,4677.72,4696.44,4677.72,sl,-9.24,-41.58,-1.481,5575.06,london,conservative,bullish,4683.96,4680.72,2026-03-19 14:10:00
1667,2026-03-19 15:32:00,2026-03-19 15:33:00,short,4609.2,4615.48,4596.64,4615.48,sl,-9.28,-41.19,-1.478,5533.87,london,conservative,bearish,4612.48,4609.2,2026-03-19 15:30:00
1668,2026-03-19 16:00:00,2026-03-19 16:56:00,short,4564.9,4606.04,4482.619999999999,4606.04,sl,-44.14,-29.69,-1.073,5504.18,london,conservative,bearish,4603.04,4564.9,2026-03-19 15:50:00
1669,2026-03-19 16:56:00,2026-03-19 16:57:00,long,4560.72,4542.9,4596.3600000000015,4596.3600000000015,tp,32.64,50.41,1.832,5554.59,london,conservative,bullish,4560.72,4545.9,2026-03-19 16:25:00
1670,2026-03-19 17:12:00,2026-03-19 17:19:00,short,4639.76,4654.55,4610.18,4610.18,tp,26.58,49.91,1.797,5604.5,london,conservative,bearish,4651.55,4639.76,2026-03-19 15:10:00
1671,2026-03-19 17:32:00,2026-03-19 22:11:00,long,4596.99,4566.21,4658.549999999999,4658.549999999999,tp,58.56,53.31,1.903,5657.82,london,conservative,bullish,4596.99,4569.21,2026-03-19 17:00:00
1672,2026-03-19 22:11:00,2026-03-19 22:12:00,long,4596.92,4582.16,4626.4400000000005,4626.4400000000005,tp,26.52,50.83,1.797,5708.65,new_york,conservative,bullish,4596.92,4585.16,2026-03-19 20:25:00
1673,2026-03-20 02:59:00,2026-03-20 03:08:00,long,4643.26,4636.89,4656.0,4656.0,tp,9.74,43.64,1.529,5752.29,asia,conservative,bullish,4643.26,4639.89,2026-03-20 02:55:00
1674,2026-03-20 03:27:00,2026-03-20 04:00:00,long,4649.92,4643.85,4662.0599999999995,4643.85,sl,-9.07,-42.98,-1.494,5709.31,asia,conservative,bullish,4649.92,4646.85,2026-03-20 03:10:00
1675,2026-03-20 04:51:00,2026-03-20 04:56:00,long,4682.35,4675.42,4696.210000000001,4675.42,sl,-9.93,-40.9,-1.433,5668.41,asia,conservative,bullish,4682.35,4678.42,2026-03-20 04:50:00
1676,2026-03-20 05:01:00,2026-03-20 05:10:00,short,4680.06,4685.35,4669.4800000000005,4685.35,sl,-8.29,-44.42,-1.567,5623.99,asia,conservative,bearish,4682.35,4680.06,2026-03-20 05:00:00
1677,2026-03-20 06:56:00,2026-03-20 07:07:00,long,4728.21,4720.24,4744.150000000001,4720.24,sl,-10.97,-38.7,-1.376,5585.29,asia,conservative,bullish,4728.21,4723.24,2026-03-20 06:25:00
1678,2026-03-20 07:17:00,2026-03-20 07:36:00,short,4720.75,4726.2,4709.85,4726.2,sl,-8.45,-43.3,-1.55,5541.99,asia,conservative,bearish,4723.2,4720.75,2026-03-20 07:15:00
1679,2026-03-20 07:59:00,2026-03-20 08:31:00,short,4720.11,4727.07,4706.19,4706.19,tp,10.92,43.48,1.569,5585.47,asia,conservative,bearish,4724.07,4720.11,2026-03-20 07:50:00
1680,2026-03-20 08:35:00,2026-03-20 08:49:00,long,4705.64,4698.51,4719.900000000001,4698.51,sl,-10.13,-39.68,-1.421,5545.79,asia,conservative,bullish,4705.64,4701.51,2026-03-20 06:10:00
