trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed
513,2025-04-17 17:27:00,2025-04-17 18:12:00,short,39090.0,39194.5,38881.0,39196.5,sl,-50.96,-1.019,11795.69,london,39169.5,39094.0,-50.949999999999996
514,2025-04-17 19:21:00,2025-04-17 19:43:00,long,39283.8,39243.1,39365.20000000001,39241.1,sl,-52.46,-1.049,11743.23,new_york,39279.8,39268.1,-52.449999999999996
515,2025-04-17 19:47:00,2025-04-17 22:12:00,long,39295.2,39179.4,39526.79999999999,39177.4,sl,-50.86,-1.017,11692.37,new_york,39291.2,39204.4,-50.849999999999994
516,2025-04-21 10:33:00,2025-04-21 13:56:00,short,38770.1,38812.5,38685.299999999996,38814.5,sl,-52.36,-1.047,11640.01,london,38787.5,38774.1,-52.349999999999994
517,2025-04-21 15:16:00,2025-04-21 15:27:00,short,38747.2,38781.1,38679.399999999994,38783.1,sl,-52.95,-1.059,11587.06,london,38756.1,38751.2,-52.949999999999996
518,2025-04-21 19:49:00,2025-04-21 19:52:00,long,38100.7,38048.3,38205.499999999985,38046.3,sl,-51.91,-1.038,11535.15,new_york,38096.7,38073.3,-51.9
519,2025-04-21 20:24:00,2025-04-21 20:55:00,short,37992.5,38050.0,37877.5,37877.5,tp,100.0,2.0,11635.15,new_york,38025.0,37996.5,100.0
520,2025-04-22 14:16:00,2025-04-22 14:27:00,short,38431.9,38475.8,38344.1,38477.8,sl,-52.28,-1.046,11582.87,london,38450.8,38435.9,-52.300000000000004
521,2025-04-22 15:36:00,2025-04-22 16:05:00,long,38492.6,38454.3,38569.19999999999,38569.19999999999,tp,100.0,2.0,11682.87,london,38488.6,38479.3,100.0
522,2025-04-22 16:19:00,2025-04-22 16:45:00,long,38576.7,38495.0,38740.09999999999,38740.09999999999,tp,100.0,2.0,11782.87,london,38572.7,38520.0,100.0
523,2025-04-22 20:19:00,2025-04-22 20:20:00,long,38992.9,38941.9,39094.9,38939.9,sl,-51.96,-1.039,11730.91,new_york,38988.9,38966.9,-51.949999999999996
524,2025-04-23 10:17:00,2025-04-23 11:01:00,short,39664.0,39761.8,39468.399999999994,39763.8,sl,-51.02,-1.02,11679.89,london,39736.8,39668.0,-51.0
525,2025-04-23 11:17:00,2025-04-23 11:49:00,long,39782.7,39744.0,39860.09999999999,39860.09999999999,tp,100.0,2.0,11779.89,london,39778.7,39769.0,100.0
526,2025-04-23 12:58:00,2025-04-23 13:36:00,short,39823.5,39877.3,39715.899999999994,39879.3,sl,-51.86,-1.037,11728.03,london,39852.3,39827.5,-51.849999999999994
527,2025-04-23 14:36:00,2025-04-23 15:38:00,long,39862.3,39821.0,39944.90000000001,39944.90000000001,tp,100.0,2.0,11828.03,london,39858.3,39846.0,100.0
528,2025-04-23 18:34:00,2025-04-23 18:47:00,long,39835.3,39769.7,39966.500000000015,39767.7,sl,-51.52,-1.03,11776.51,london,39831.3,39794.7,-51.5
529,2025-04-23 18:59:00,2025-04-23 19:01:00,short,39793.9,39828.6,39724.50000000001,39724.50000000001,tp,100.0,2.0,11876.51,london,39803.6,39797.9,100.0
530,2025-04-23 20:21:00,2025-04-23 20:29:00,short,39861.1,39892.7,39797.9,39797.9,tp,100.0,2.0,11976.51,new_york,39867.7,39865.1,100.0
531,2025-04-23 21:31:00,2025-04-24 08:57:00,short,39630.2,39757.7,39375.2,39375.2,tp,100.0,2.0,12076.51,new_york,39732.7,39634.2,100.0
532,2025-04-24 12:08:00,2025-04-24 13:02:00,long,39314.7,39277.0,39390.09999999999,39390.09999999999,tp,100.0,2.0,12176.51,london,39310.7,39302.0,100.0
533,2025-04-24 13:03:00,2025-04-24 13:31:00,short,39381.8,39421.0,39303.40000000001,39423.0,sl,-52.55,-1.051,12123.96,london,39396.0,39385.8,-52.55
534,2025-04-24 14:04:00,2025-04-24 14:23:00,long,39497.3,39427.5,39636.90000000001,39425.5,sl,-51.43,-1.029,12072.53,london,39493.3,39452.5,-51.449999999999996
535,2025-04-24 14:33:00,2025-04-24 16:51:00,long,39419.2,39349.8,39557.999999999985,39557.999999999985,tp,100.0,2.0,12172.53,london,39415.2,39374.8,100.0
536,2025-04-25 10:18:00,2025-04-25 10:47:00,short,40064.3,40116.0,39960.90000000001,40118.0,sl,-51.93,-1.039,12120.6,london,40091.0,40068.3,-51.949999999999996
537,2025-04-25 11:41:00,2025-04-25 13:08:00,short,40089.3,40127.0,40013.90000000001,40013.90000000001,tp,100.0,2.0,12220.6,london,40102.0,40093.3,100.0
538,2025-04-25 16:25:00,2025-04-25 16:46:00,long,39968.2,39913.0,40078.59999999999,39911.0,sl,-51.81,-1.036,12168.79,london,39964.2,39938.0,-51.800000000000004
539,2025-04-25 16:56:00,2025-04-25 17:09:00,short,39866.3,39927.3,39744.3,39929.3,sl,-51.64,-1.033,12117.15,london,39902.3,39870.3,-51.65
540,2025-04-25 18:43:00,2025-04-25 18:53:00,short,39814.6,39876.0,39691.799999999996,39878.0,sl,-51.63,-1.033,12065.52,london,39851.0,39818.6,-51.65
541,2025-04-25 19:49:00,2025-04-28 16:31:00,long,39955.3,39810.4,40245.100000000006,40245.100000000006,tp,100.0,2.0,12165.52,new_york,39951.3,39835.4,100.0
542,2025-04-28 18:33:00,2025-04-28 19:05:00,short,40069.9,40115.1,39979.50000000001,39979.50000000001,tp,100.0,2.0,12265.52,london,40090.1,40073.9,100.0
543,2025-04-28 19:51:00,2025-04-28 21:27:00,short,40003.0,40081.3,39846.399999999994,40083.3,sl,-51.28,-1.026,12214.24,new_york,40056.3,40007.0,-51.300000000000004
544,2025-04-28 22:16:00,2025-04-28 22:47:00,short,40155.6,40224.3,40018.19999999999,40226.3,sl,-51.46,-1.029,12162.78,new_york,40199.3,40159.6,-51.449999999999996
545,2025-04-29 11:33:00,2025-04-29 12:47:00,short,40283.2,40340.3,40168.999999999985,40342.3,sl,-51.75,-1.035,12111.03,london,40315.3,40287.2,-51.74999999999999
546,2025-04-29 16:08:00,2025-04-29 16:30:00,short,40218.5,40260.6,40134.3,40262.6,sl,-52.38,-1.048,12058.65,london,40235.6,40222.5,-52.400000000000006
547,2025-04-29 18:06:00,2025-04-29 19:49:00,long,40457.1,40338.6,40694.1,40336.6,sl,-50.84,-1.017,12007.81,london,40453.1,40363.6,-50.849999999999994
548,2025-04-29 23:00:00,2025-04-30 04:46:00,long,40524.8,40439.8,40694.8,40437.8,sl,-51.18,-1.024,11956.63,new_york,40520.8,40464.8,-51.2
