trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1469,2026-01-27 06:24:00,2026-01-27 13:55:00,short,49366.1,49419.1,49260.1,49260.1,tp,100.0,2.0,19397.99,asia,49394.1,49370.1,100.0,2026-01,2026-01-27
1470,2026-01-27 18:31:00,2026-01-27 19:10:00,long,49103.1,49001.9,49305.49999999999,48999.9,sl,-50.99,-1.02,19347.0,london,49099.1,49026.9,-51.0,2026-01,2026-01-27
1471,2026-01-27 20:02:00,2026-01-27 20:46:00,short,48883.1,48960.1,48729.1,48962.1,sl,-51.3,-1.026,19295.7,new_york,48935.1,48887.1,-51.300000000000004,2026-01,2026-01-27
1472,2026-01-28 02:08:00,2026-01-28 08:00:00,long,48995.6,48959.1,49068.6,49068.6,tp,100.0,2.0,19395.7,asia,48991.6,48984.1,100.0,2026-01,2026-01-28
1473,2026-01-28 11:10:00,2026-01-28 11:52:00,short,48996.2,49032.2,48924.2,49034.2,sl,-52.78,-1.056,19342.92,london,49007.2,49000.2,-52.800000000000004,2026-01,2026-01-28
1474,2026-01-28 12:08:00,2026-01-28 14:12:00,long,49037.2,49002.2,49107.2,49000.2,sl,-52.86,-1.057,19290.06,london,49033.2,49027.2,-52.849999999999994,2026-01,2026-01-28
1475,2026-01-28 16:44:00,2026-01-28 17:07:00,long,49016.2,48959.7,49129.2,48957.7,sl,-51.77,-1.035,19238.29,london,49012.2,48984.7,-51.74999999999999,2026-01,2026-01-28
1476,2026-01-28 17:09:00,2026-01-28 17:20:00,short,48936.2,48975.2,48858.2,48977.2,sl,-52.56,-1.051,19185.73,london,48950.2,48940.2,-52.55,2026-01,2026-01-28
1477,2026-01-29 07:20:00,2026-01-29 10:12:00,long,48986.6,48942.1,49075.6,49075.6,tp,100.0,2.0,19285.73,asia,48982.6,48967.1,100.0,2026-01,2026-01-29
1478,2026-01-29 10:28:00,2026-01-29 12:55:00,long,49072.1,49028.1,49160.1,49026.1,sl,-52.27,-1.045,19233.46,london,49068.1,49053.1,-52.25,2026-01,2026-01-29
1479,2026-01-29 13:02:00,2026-01-29 13:11:00,short,49001.1,49034.1,48935.1,49036.1,sl,-53.03,-1.061,19180.43,london,49009.1,49005.1,-53.05,2026-01,2026-01-29
1480,2026-01-29 16:31:00,2026-01-29 16:33:00,long,49075.1,49032.6,49160.1,49030.6,sl,-52.35,-1.047,19128.08,london,49071.1,49057.6,-52.349999999999994,2026-01,2026-01-29
1481,2026-01-29 16:59:00,2026-01-29 17:27:00,short,48981.6,49041.1,48862.6,48862.6,tp,100.0,2.0,19228.08,london,49016.1,48985.6,100.0,2026-01,2026-01-29
1482,2026-01-29 21:31:00,2026-01-29 22:58:00,long,48933.5,48872.0,49056.5,49056.5,tp,100.0,2.0,19328.08,new_york,48929.5,48897.0,100.0,2026-01,2026-01-29
1483,2026-01-30 01:11:00,2026-01-30 01:36:00,short,48916.4,48964.4,48820.4,48966.4,sl,-52.08,-1.042,19276.0,asia,48939.4,48920.4,-52.1,2026-01,2026-01-30
1484,2026-01-30 08:16:00,2026-01-30 08:57:00,short,48768.6,48817.1,48671.6,48671.6,tp,100.0,2.0,19376.0,asia,48792.1,48772.6,100.0,2026-01,2026-01-30
1485,2026-01-30 12:00:00,2026-01-30 12:37:00,short,48619.1,48703.1,48451.1,48705.1,sl,-51.19,-1.024,19324.81,london,48678.1,48623.1,-51.2,2026-01,2026-01-30
1486,2026-01-30 16:06:00,2026-01-30 16:19:00,short,48805.6,48864.1,48688.6,48866.1,sl,-51.71,-1.034,19273.1,london,48839.1,48809.6,-51.7,2026-01,2026-01-30
1487,2026-01-30 16:26:00,2026-01-30 16:30:00,long,48886.1,48849.6,48959.1,48959.1,tp,100.0,2.0,19373.1,london,48882.1,48874.6,100.0,2026-01,2026-01-30
1488,2026-01-30 18:01:00,2026-01-30 18:18:00,short,48760.6,48808.1,48665.6,48665.6,tp,100.0,2.0,19473.1,london,48783.1,48764.6,100.0,2026-01,2026-01-30
1489,2026-01-30 18:44:00,2026-01-30 19:04:00,short,48672.6,48715.1,48587.6,48587.6,tp,100.0,2.0,19573.1,london,48690.1,48676.6,100.0,2026-01,2026-01-30
1490,2026-01-30 22:49:00,2026-01-30 22:54:00,long,48951.0,48859.5,49134.0,48857.5,sl,-51.09,-1.022,19522.01,new_york,48947.0,48884.5,-51.1,2026-01,2026-01-30
1491,2026-02-02 02:19:00,2026-02-02 03:12:00,long,48879.7,48815.7,49007.7,48813.7,sl,-51.56,-1.031,19470.45,asia,48875.7,48840.7,-51.55,2026-02,2026-02-02
1492,2026-02-02 06:03:00,2026-02-02 10:32:00,short,48491.5,48629.5,48215.5,48631.5,sl,-50.72,-1.014,19419.73,asia,48604.5,48495.5,-50.7,2026-02,2026-02-02
1493,2026-02-02 10:37:00,2026-02-02 11:22:00,long,48658.7,48610.7,48754.7,48754.7,tp,100.0,2.0,19519.73,london,48654.7,48635.7,100.0,2026-02,2026-02-02
